source,pivot_text(de),pivot_text(zh),bt_zh,bt_de
The game also features co-operative play (co-op) which allows players to complete the story based single player mode together.,Das Spiel hat auch ein kooperatives Spiel (Co-op). Dadurch können die Spieler den Story basierten Single-Player-Modus zusammen vervollständigen.,"游戏有合作游戏。在这个模式下,玩家一起完成故事。","The game has a partnership game. In this mode, the players complete the story together.","The game also has a cooperative game (co-op), allowing players to complete the story based single player mode together."
"The psychological state of sympathy is closely linked with that of compassion, empathy and empathic concern.","Der emotionale Zustand der Sympathie ist genau wie Mitgefühl, Empathie und empathische Sorge.",同情的心理状态与同情、同情和同情密切相关。,"The state of compassion is closely linked to compassion, compassion and compassion.","The emotional state of sympathy is just like compassion, empathy and empathic concern."
"The Shaolin Monastery or Shaolin Temple, is a Chán Buddhist temple at Song Shan near Zhengzhou City Henan Province in Dengfeng, China.",Das Shaolin-Kloster ist ein buddhistischer Tempel in der chinesischen Provinz Dengfeng in der Nähe der Stadt Zhengzhou.,"少林修道院或少林寺是尚佛教寺庙,位于中国登峰市正州河南省附近的宋山。","The Shaolin Monastery or Shaolin Monastery is a Temple of the Chang Buddhist Church located in Songshan, near Henan Province, Chengzhou, Peak City, China.","Shaolin Monastery is a Buddhist temple located in Dengfeng Province, China, near Zhengzhou City."
"During the play, Violet signs the marriage document with her left hand to invalidate the bill.","Violet unterschrieb das Heiratsdokument mit ihrer linken Hand, um die Rechnung zu lüften.","在演出期间,怀奥莱特用左手在结婚文件上签名,这取消了法案。","During the performance, Violet signed the marriage papers with his left hand, which cancelled the bill.",Violet signed the marriage document with her left hand to air the bill.
"As a number One is the integer before two, and after zero.",Als Zahl ist 1 vor 2 und nach 0.,头号在零和二之间,Number one is between zero and two.,The number is 1 before 2 and after 0.
The storm dropped heavy rainfall near its immediate landfall location but little precipitation elsewhere.,"Der Sturm hatte starken Regen in der Gegend, aber wenig anderswo.","暴风雨在紧接的陆地瀑布地点附近降下暴雨,但其他地方的雨却很少。","Storms have rained in the immediate vicinity of land waterfalls, but there have been few rains elsewhere.","The storm had heavy rain in the area, but little elsewhere."
"From about 200 to 30 million years ago, the North American Plate was in continual collision with the Farallon Plate.",Vor etwa 200 bis 30 Millionen Jahren drückte die North American Plate auf die Farallon Plate.,"从2亿到3千万年前, 北美板块一直与法拉隆板碰撞。","From 200 million to 30 million years ago, the North American plate had been colliding with the Faralong plate.","About 200 to 30 million years ago, the North American Plate pressed on the Farallon Plate."
"The British described Cheema as a powerful and united, but quarrelsome tribe.",Nach Angaben der Briten waren die Cheema ein mächtiger und vereinter Stamm. Allerdings argumentierten sie oft.,Cheema被描述为一个强大和团结的强者。 英国人认为他们也是争吵的。,"Cheema was described as a strong and united man, and the British thought they were quarrelling.","According to the British, the Cheema were a powerful and united tribe. However, they often argued."
"As of 2007, a maximum of two builders can be inducted in one year.",Ab 2007 können bis zu zwei Bauherren in einem Jahr aufgenommen werden.,"截至2007年,最多可有两名建筑工一年入住。","As of 2007, a maximum of two construction workers could be admitted for one year.",From 2007 up to two builders can be accepted in one year.
"Synopsis Place: A Spanish state prison, a few miles from Seville Time: Late 1700s.",Ort: Ein spanisches Staatsgefängnis in der Nähe von Sevilla. Zeit: Ende 1700.,1700年代末的西班牙国家监狱将是一个概览。,The Spanish National Prison in the late 1700s will be an overview.,Location: A Spanish state prison near Seville. Time: late 1700.
